,ID hecho,AAA,MM,DD,VEHICULO_VICTIMA,SEXO,EDAD_VICTIMA,GRAVEDAD
19232,LC-2021-0379731,2021,7,23,CICLISTA,MASCULINO,37,SD
19233,LC-2021-0389582,2021,8,1,MOTO,MASCULINO,0,SD
19234,LC-2021-0389916,2021,8,6,MOTO,MASCULINO,49,SD
19235,LC-2021-0389916,2021,8,6,MOTO,SD,0,SD
19236,LC-2021-0390326,2021,7,25,SD,FEMENINO,28,SD
19237,LC-2021-0395508,2021,8,10,PEATON,MASCULINO,23,SD
19238,LC-2021-0440242,2021,9,5,SD,FEMENINO,33,SD
19239,LC-2021-0176737,2021,4,13,MOTO,MASCULINO,44,SD
19240,LC-2021-0188538,2021,4,23,CICLISTA,MASCULINO,32,SD
19241,LC-2021-0209125,2021,5,4,SD,SD,0,SD
19242,LC-2021-0231405,2021,5,21,SD,SD,0,SD
19243,LC-2021-0264656,2021,6,14,PEATON,FEMENINO,60,SD
19244,LC-2021-0267943,2021,6,7,AUTO,SD,0,SD
19245,LC-2021-0267943,2021,6,7,AUTO,FEMENINO,40,SD
19246,LC-2021-0322878,2021,7,6,MOTO,MASCULINO,26,SD
19247,LC-2021-0323400,2021,7,7,AUTO,MASCULINO,65,SD
19248,LC-2021-0336130,2021,7,16,TRANSPORTE PUBLICO,FEMENINO,59,SD
19249,LC-2021-0349243,2021,7,24,MOTO,MASCULINO,41,SD
19250,LC-2021-0372478,2021,7,27,TRANSPORTE PUBLICO,FEMENINO,79,SD
19251,LC-2021-0436818,2021,8,26,SD,MASCULINO,29,SD
19252,LC-2021-0456780,2021,9,14,SD,MASCULINO,52,SD
19253,LC-2021-0459259,2021,9,15,SD,MASCULINO,28,SD
19254,LC-2021-0467469,2021,9,20,SD,MASCULINO,0,SD
19255,LC-2021-0469311,2021,9,18,SD,MASCULINO,47,SD
19256,LC-2021-0492857,2021,9,29,SD,SD,0,SD
19257,LC-2021-0492908,2021,9,29,SD,MASCULINO,28,SD
19258,LC-2021-0498654,2021,10,7,MOTO,MASCULINO,39,SD
19259,LC-2021-0498874,2021,10,7,CICLISTA,MASCULINO,37,SD
19260,LC-2021-0515955,2021,10,15,MOTO,MASCULINO,31,SD
19261,LC-2021-0523447,2021,10,21,SD,FEMENINO,32,SD
19262,LC-2021-0527030,2021,10,18,SD,FEMENINO,22,SD
19263,LC-2021-0530471,2021,10,22,SD,FEMENINO,27,SD
19264,LC-2021-0539225,2021,10,21,SD,MASCULINO,47,SD
19265,LC-2021-0540393,2021,10,29,CICLISTA,MASCULINO,27,GRAVE
19266,LC-2021-0542459,2021,10,19,TAXI,MASCULINO,0,SD
19267,LC-2021-0552635,2021,11,5,PEATON,FEMENINO,25,SD
19268,LC-2021-0561405,2021,11,10,MOTO,FEMENINO,21,GRAVE
19269,LC-2021-0575190,2021,11,14,MOTO,MASCULINO,21,SD
19270,LC-2021-0578934,2021,11,19,SD,MASCULINO,6,SD
19271,LC-2021-0581048,2021,11,20,MOTO,MASCULINO,29,SD
19272,LC-2021-0599431,2021,12,1,MOTO,MASCULINO,37,SD
19273,LC-2021-0606016,2021,12,5,MOTO,MASCULINO,46,GRAVE
19274,LC-2021-0612417,2021,12,9,OTRO,FEMENINO,9,SD
19275,LC-2021-0612417,2021,12,9,OTRO,MASCULINO,7,SD
19276,LC-2021-0612417,2021,12,9,OTRO,MASCULINO,6,SD
19277,LC-2021-0612417,2021,12,9,OTRO,SD,0,SD
19278,LC-2021-0621385,2021,12,14,CICLISTA,FEMENINO,27,SD
19279,LC-2021-0626036,2021,11,19,MOTO,MASCULINO,29,SD
19280,LC-2021-0638620,2021,12,22,SD,MASCULINO,36,SD
19281,LC-2021-0640814,2021,12,23,SD,MASCULINO,29,SD
19282,LC-2021-0005678,2021,1,5,CICLISTA,MASCULINO,29,SD
19283,LC-2021-0014242,2021,1,11,PEATON,FEMENINO,39,SD
19284,LC-2021-0024525,2021,1,17,CICLISTA,MASCULINO,27,SD
19285,LC-2021-0024527,2021,1,18,SD,MASCULINO,38,GRAVE
19286,LC-2021-0026673,2021,1,19,MOTO,MASCULINO,51,SD
19287,LC-2021-0029570,2021,1,20,MOTO,MASCULINO,37,SD
19288,LC-2021-0032975,2021,1,22,SD,SD,0,SD
19289,LC-2021-0037896,2021,1,26,MOTO,SD,0,SD
19290,LC-2021-0061202,2021,2,10,MOTO,SD,0,SD
19291,LC-2021-0064560,2021,2,12,PEATON,FEMENINO,27,SD
19292,LC-2021-0071283,2021,2,17,TRANSPORTE PUBLICO,FEMENINO,51,SD
19293,LC-2021-0089394,2021,2,27,AUTO,MASCULINO,49,SD
19294,LC-2021-0091034,2021,2,19,SD,MASCULINO,37,SD
19295,LC-2021-0094875,2021,3,2,PEATON,FEMENINO,44,SD
19296,LC-2021-0096785,2021,3,3,MOTO,MASCULINO,26,SD
19297,LC-2021-0098731,2021,3,4,CICLISTA,MASCULINO,39,SD
19298,LC-2021-0099345,2021,3,5,PEATON,MASCULINO,19,SD
19299,LC-2021-0101058,2021,3,5,MOTO,MASCULINO,41,SD
19300,LC-2021-0102114,2021,3,6,MOTO,MASCULINO,44,SD
19301,LC-2021-0102466,2021,3,7,AUTO,MASCULINO,46,SD
19302,LC-2021-0102732,2021,3,7,AUTO,FEMENINO,33,SD
19303,LC-2021-0102732,2021,3,7,AUTO,FEMENINO,32,SD
19304,LC-2021-0102732,2021,3,7,AUTO,FEMENINO,24,SD
19305,LC-2021-0102732,2021,3,7,AUTO,MASCULINO,2,SD
19306,LC-2021-0111264,2021,3,11,MOTO,MASCULINO,51,SD
19307,LC-2021-0112803,2021,3,11,MOTO,MASCULINO,23,SD
19308,LC-2021-0122556,2021,3,17,PEATON,SD,0,SD
19309,LC-2021-0123453,2021,3,18,MOTO,MASCULINO,35,SD
19310,LC-2021-0132897,2021,3,22,AUTO,MASCULINO,30,SD
19311,LC-2021-0134936,2021,3,25,AUTO,MASCULINO,35,SD
19312,LC-2021-0134936,2021,3,25,AUTO,MASCULINO,35,SD
19313,LC-2021-0138873,2021,3,27,MOTO,MASCULINO,52,SD
19314,LC-2021-0140871,2021,3,28,MOTO,MASCULINO,35,SD
19315,LC-2021-0148009,2021,4,1,SD,MASCULINO,83,SD
19316,LC-2021-0148075,2021,3,15,CICLISTA,MASCULINO,66,SD
19317,LC-2021-0187833,2021,4,23,CICLISTA,MASCULINO,25,SD
19318,LC-2021-0191119,2021,4,26,MOTO,MASCULINO,21,SD
19319,LC-2021-0197757,2021,4,29,CICLISTA,MASCULINO,27,SD
19320,LC-2021-0212273,2021,5,9,SD,SD,0,SD
19321,LC-2021-0213052,2021,5,10,SD,SD,0,SD
19322,LC-2021-0216875,2021,5,11,SD,SD,0,SD
19323,LC-2021-0226377,2021,5,18,SD,SD,0,SD
19324,LC-2021-0227756,2021,5,19,SD,SD,0,SD
19325,LC-2021-0228975,2021,5,20,SD,SD,0,SD
19326,LC-2021-0235884,2021,6,16,SD,SD,0,SD
19327,LC-2021-0239024,2021,5,28,SD,SD,0,SD
19328,LC-2021-0242052,2021,5,30,SD,SD,0,SD
19329,LC-2021-0248301,2021,6,3,MOTO,MASCULINO,38,SD
